node,x,y,latitude,longitude
2894637,443061,4401083.5,39.7577668,-123.664702
2911145,443005,4401079.5,39.757727,-123.665356
2935015,446170,4401074.5,39.7578879,-123.628409
2953403,443853,4401069.5,39.7576932,-123.655456
2974683,444428,4401064.5,39.7576859,-123.648743
2974985,444730,4401064.5,39.7577055,-123.645218
3009912,446529,4401056.5,39.7577483,-123.624217
3010947,443423,4401055.5,39.7575386,-123.660474
3023925,443978,4401052.5,39.7575483,-123.653995
3059433,446358,4401044.5,39.7576294,-123.626212
3074377,444738,4401040.5,39.7574898,-123.645123
3173392,444369,4401016.5,39.7572496,-123.649428
3175136,446113,4401016.5,39.7573617,-123.62907
3217643,443069,4401005.5,39.7570646,-123.664602
3240049,444770,4401000.5,39.7571315,-123.644746
3248659,445098,4400998.5,39.7571347,-123.640917
3276752,444204,4400991.5,39.7570136,-123.651352
3286119,445289,4400989.5,39.7570659,-123.638686
3348233,445288,4400974.5,39.7569307,-123.638697
3358799,443431,4400971.5,39.7567824,-123.660374
3378017,446085,4400967.5,39.7569185,-123.629393
3397112,444475,4400962.5,39.75677,-123.648186
3410279,445219,4400959.5,39.7567911,-123.639501
3421610,444127,4400956.5,39.7566932,-123.652248
3431235,445470,4400954.5,39.7567622,-123.636571
3437364,443317,4400952.5,39.7566036,-123.661703
3491755,443875,4400939.5,39.7565234,-123.655188
3492262,444382,4400939.5,39.7565567,-123.64927
3499428,443266,4400937.5,39.7564651,-123.662297
3501382,445220,4400937.5,39.756593,-123.639488
3509912,445468,4400935.5,39.7565909,-123.636592
3536706,443275,4400928.5,39.7563846,-123.662191
3576399,445699,4400919.5,39.7564615,-123.633895
3664893,443091,4400897.5,39.756093,-123.664336
3682480,444114,4400893.5,39.7561247,-123.652394
3721177,445542,4400884.5,39.7561361,-123.635724
3787520,445629,4400868.5,39.7559975,-123.634708
3790716,444684,4400867.5,39.7559277,-123.645738
3812036,445299,4400862.5,39.7559223,-123.638559
3848136,444130,4400853.5,39.7557654,-123.652204
3873985,445133,4400847.5,39.7557765,-123.640496
3914890,444628,4400837.5,39.7556537,-123.64639
3944258,445009,4400830.5,39.7556154,-123.641942
3955343,443671,4400827.5,39.7555009,-123.65756
3968649,444554,4400824.5,39.7555318,-123.647252
3993510,444569,4400818.5,39.7554787,-123.647077
4009491,443986,4400814.5,39.7554045,-123.653882
4015136,445490,4400813.5,39.7554931,-123.636326
4079484,443582,4400797.5,39.7552247,-123.658596
4100080,443473,4400792.5,39.7551724,-123.659868
4117784,444613,4400788.5,39.7552113,-123.646561
4124503,443050,4400786.5,39.7550902,-123.664805
4125403,443950,4400786.5,39.7551499,-123.654299
4173897,446893,4400775.5,39.7552394,-123.619945
4198997,443006,4400768.5,39.7549251,-123.665317
4236134,447015,4400760.5,39.7551118,-123.61852
4247374,445832,4400757.5,39.7550104,-123.632329
4262529,444423,4400753.5,39.7548836,-123.648775
4304327,444811,4400743.5,39.7548187,-123.644246
4316855,444916,4400740.5,39.7547985,-123.64302
4324913,444692,4400738.5,39.7547659,-123.645634
4331092,446730,4400737.5,39.7548868,-123.621845
4428406,444660,4400713.5,39.7545386,-123.646006
4440693,444524,4400710.5,39.7545028,-123.647593
4452378,443786,4400707.5,39.7544273,-123.656207
4464567,443552,4400704.5,39.7543848,-123.658938
4469526,444370,4400703.5,39.7544296,-123.64939
4519863,445015,4400691.5,39.7543634,-123.64186
4532709,445438,4400688.5,39.7543636,-123.636922
4538040,446628,4400687.5,39.75443,-123.623032
4577853,445031,4400677.5,39.7542383,-123.641672
4597474,443947,4400672.5,39.7541226,-123.654325
4607053,445244,4400670.5,39.754189,-123.639185
4654756,443255,4400658.5,39.7539507,-123.662401
4658470,446969,4400658.5,39.75419,-123.619049
4675955,443749,4400653.5,39.7539384,-123.656634
4694519,445749,4400649.5,39.7540321,-123.633289
4718942,445326,4400643.5,39.753951,-123.638226
4732666,446627,4400640.5,39.7540064,-123.623039
4796197,443902,4400624.5,39.7536872,-123.654846
4800216,443780,4400623.5,39.7536701,-123.65627
4825622,444340,4400617.5,39.7536529,-123.649733
4825675,444393,4400617.5,39.7536563,-123.649114
4828482,443059,4400616.5,39.7535592,-123.664685
4829833,444410,4400616.5,39.7536484,-123.648916
4840970,443124,4400613.5,39.7535365,-123.663926
4850889,444761,4400611.5,39.7536262,-123.644818
4855445,445176,4400610.5,39.753644,-123.639974
4865075,446524,4400608.5,39.7537117,-123.624239
4877495,446521,4400605.5,39.7536845,-123.624274
4901623,445803,4400599.5,39.753585,-123.632654
4934806,445858,4400591.5,39.7535164,-123.632012
4978113,443614,4400580.5,39.7532718,-123.658204
4987253,444472,4400578.5,39.7533101,-123.648189
5003595,444250,4400574.5,39.7532596,-123.65078
